trial_type,trial_number,sentence,correct_answer,acc,answer_rt
perceptual_training,0,Marynarkê nosi siê na nogach,True,1,0.7003954000101658
perceptual_training,1,W listopadzie opadaj¹ liœcie.,True,1,0.766832199995406
perceptual_training,2,Dziennikarz pisze artyku³y ,True,1,0.8002058999991277
perceptual_training,3,Œwierszcz jest owadem,True,1,1.316881699996884
perceptual_training,4,Mango roœnie w polsce,True,1,0.5168452000070829
perceptual_training,5,Sprzedawca obs³uguje klientów,True,1,0.800319899994065
perceptual_training,6,Kret kopie tunele,False,1,1.116817300004186
perceptual_training,7,Trener leczy choroby ,False,1,1.1667539999907603
perceptual_training,8,Pêpek jest na brzuchu,True,1,1.3502921000035712
perceptual_training,9,Trawa jest zielona,True,1,0.48337880001054145
perceptual_training,10,Hiena poluje w stadach,True,1,0.8168963999924017
perceptual_training,11,Orkiestra buduje budynki,True,1,0.5168212999997195
perceptual_training,12,Chipsy to zdrowa przek¹ska,True,1,0.8833733999927063
perceptual_training,13,Pokój to pomieszczenie,False,1,1.5002612999960547
perceptual_training,14,Motyl potrafi lataæ,True,1,1.0001130000018748
perceptual_training,15,Florysta gra na instrumentach ,True,1,0.6334812999994028
perceptual_training,16,Na technice gra siê w rugby,True,1,0.8334686000016518
semantic_training,0,Marynarkê nosi siê na nogach,False,1,0.8348416000080761
semantic_training,1,W listopadzie opadaj¹ liœcie.,True,1,0.866802300006384
semantic_training,2,Dziennikarz pisze artyku³y ,True,1,0.8001075000065612
semantic_training,3,Œwierszcz jest owadem,True,1,0.6334454000025289
semantic_training,4,Mango roœnie w polsce,False,1,0.9835554000019329
semantic_training,5,Sprzedawca obs³uguje klientów,True,1,0.8167263000068488
semantic_training,6,Kret kopie tunele,True,1,1.333812199998647
semantic_training,7,Trener leczy choroby ,False,0,1.050112300014007
semantic_training,8,Pêpek jest na brzuchu,True,1,0.7000943000020925
semantic_training,9,Trawa jest zielona,True,1,0.5168650999985402
semantic_training,10,Hiena poluje w stadach,True,1,0.8168121000053361
semantic_training,11,Orkiestra buduje budynki,False,1,1.3001228999928571
semantic_training,12,Chipsy to zdrowa przek¹ska,False,1,0.8500357000011718
semantic_training,13,Pokój to pomieszczenie,True,1,0.6168182999972487
semantic_training,14,Motyl potrafi lataæ,True,1,0.9182161000062479
semantic_training,15,Florysta gra na instrumentach ,False,0,0.5834153000032529
semantic_training,16,Na technice gra siê w rugby,False,0,0.7835684999881778
perceptual_experiment0,0,Kostka do gry s³u¿y do pisania,True,1,1.7501370000099996
perceptual_experiment0,1,Ratownik sprzedaje bi¿uteriê,True,1,1.2668810000031954
perceptual_experiment0,2,Ziemniaki rosn¹ pod ziemi¹,True,1,0.9336226000013994
perceptual_experiment0,3,Pielêgniarka dba o pacjentów ,True,1,1.1667651000025216
perceptual_experiment0,4,Paj¹k potrafi lataæ,True,1,1.0500768000056269
perceptual_experiment0,5,Mors p³ywa w wodzie,True,1,0.9169046999886632
perceptual_experiment0,6,Terapeuta gotuje obiady,True,1,0.6668438999913633
perceptual_experiment0,7,Dziobak to ssak wodny,True,1,0.650170299995807
perceptual_experiment0,8,S³onecznik lubi s³oñce,False,1,1.7334769000008237
perceptual_experiment0,9,Koœci tworz¹ szkielet,False,1,1.2334055999963311
perceptual_experiment0,10,Jubiler sprz¹ta pokoje,True,1,1.333516899991082
perceptual_experiment0,11,Woda jest niezbêdna do ¿ycia,True,1,0.700120399997104
perceptual_experiment0,12,Owca to zwierzê roœlino¿erne,True,1,0.9335063999897102
perceptual_experiment0,13,Têtnica prowadzi krew z serca. ,True,1,1.5169027000083588
perceptual_experiment0,14,Bo¿e Narodzenie jest w maju,True,1,1.23358559999906
perceptual_experiment0,15,Fryzjer obcina w³osy,True,1,1.5167801000061445
perceptual_experiment0,16,Socjolog bada spo³eczeñstwo,True,1,0.9667843999923207
perceptual_experiment0,17,Ping pong nie wymaga paletek,True,1,1.200240499994834
perceptual_experiment0,18,Pluton jest najbli¿ej S³oñca,True,1,1.1667602000088664
perceptual_experiment0,19,Garnitur jest strojem formalnym,True,1,0.7169428000051994
perceptual_experiment0,20,Angielski to nauka jêzyka obcego,True,1,2.4333685000019614
perceptual_experiment0,21,Ko³o zapasowe jest okr¹g³e,True,0,1.933414700004505
perceptual_experiment0,22,Do hula hoop potrzeba pi³ki,True,1,1.2666858000011416
perceptual_experiment0,23,G³owa zawiera mózg. ,True,1,0.8835089999920456
perceptual_experiment0,24,Orka to ssak wodny,True,1,0.900235099994461
perceptual_experiment0,25,Nietoperz potrafi lataæ,True,1,0.9669126999942819
perceptual_experiment0,26,Muzyka to nauka o dŸwiêkach,True,1,0.8347576000087429
perceptual_experiment0,27,Tygrys to ssak,True,1,1.0168056999973487
perceptual_experiment0,28,W paintballu u¿ywa siê kulek,True,1,1.1501306999998633
perceptual_experiment0,29,Gwiazda to kula gazowa,True,1,0.8667986999935238
perceptual_experiment0,30,W hokeju u¿ywa siê nart,True,1,1.1001106999901822
perceptual_experiment0,31,Kozaki to rodzaj obuwia,True,1,0.5835424999968382
perceptual_experiment0,32,Szalik siê nosi w zimie,True,1,0.5668639999930747
