trial_type,trial_number,sentence,correct_answer,acc,answer_rt
perceptual_training,0,Spodnie s¹ czêœci¹ garderoby,True,1,2.967291100001603
perceptual_training,1,Zaj¹c to zwierzê roœlino¿erne,True,1,0.9167402000020957
perceptual_training,2,Rolkami jeŸdzi siê po wodzie,True,1,1.0834995999975945
perceptual_training,3,Kocimiêtka przyci¹ga koty,True,1,1.0835099000032642
perceptual_training,4,Sypialnia jest miejscem snu. ,True,1,0.9169767999992473
perceptual_training,5,Historia opowiada o przesz³oœci,True,1,0.850106699996104
perceptual_training,6,Ser ¿ó³ty to miêso,False,1,1.566824199995608
perceptual_training,7,Koœci tworz¹ szkielet,False,1,1.9670895999952336
perceptual_training,8,Kciuk jest najd³u¿szym placem,True,1,1.8167873000056716
perceptual_training,9,Radio samochodowe gra muzykê,True,1,0.6835518000007141
perceptual_training,10,Na technice gra siê w rugby,True,1,1.3002309000003152
perceptual_training,11,Mysz lubi p³ywaæ,True,1,1.5168420999980299
perceptual_training,12,We wrzeœniu zaczyna siê zima. ,True,1,1.5002322000000277
perceptual_training,13,Chleb jest z m¹ki,False,1,1.3167298999978811
perceptual_training,14,Panda jest ró¿owa,True,1,0.6000969000015175
perceptual_training,15,Oczy to czêœæ g³owy.,False,1,2.2337222999994992
perceptual_training,16,T³umacz przek³ada teksty,True,1,1.4000844000038342
semantic_training,0,Spodnie s¹ czêœci¹ garderoby,True,1,1.4836905999982264
semantic_training,1,Zaj¹c to zwierzê roœlino¿erne,True,1,1.9170467000003555
semantic_training,2,Rolkami jeŸdzi siê po wodzie,False,1,1.2005371999985073
semantic_training,3,Kocimiêtka przyci¹ga koty,True,1,1.3001524999999674
semantic_training,4,Sypialnia jest miejscem snu. ,True,1,1.133729499997571
semantic_training,5,Historia opowiada o przesz³oœci,True,1,1.7668629000036162
semantic_training,6,Ser ¿ó³ty to miêso,False,1,1.1167920000007143
semantic_training,7,Koœci tworz¹ szkielet,True,1,1.4489289000048302
semantic_training,8,Kciuk jest najd³u¿szym placem,False,1,2.016763699997682
semantic_training,9,Radio samochodowe gra muzykê,True,1,1.9333752999955323
semantic_training,10,Na technice gra siê w rugby,False,1,1.4168991000042297
semantic_training,11,Mysz lubi p³ywaæ,False,1,1.3000976999974228
semantic_training,12,We wrzeœniu zaczyna siê zima. ,False,1,1.4333881999991718
semantic_training,13,Chleb jest z m¹ki,True,1,1.5668474999984028
semantic_training,14,Panda jest ró¿owa,False,1,1.416842499995255
semantic_training,15,Oczy to czêœæ g³owy.,True,1,1.1001890000043204
semantic_training,16,T³umacz przek³ada teksty,True,1,1.0834342000016477
semantic_experiment0,0,Weterynarz leczy zwierzêta ,True,1,2.2500571999989916
semantic_experiment0,1,Czekolada zawiera kakao,True,1,2.200089600002684
semantic_experiment0,2,Ramiê ³¹czy rêkê z tu³owiem. ,True,1,2.6500305000008666
semantic_experiment0,3,Kangur potrafi skakaæ,True,1,2.1002997999967192
semantic_experiment0,4,Paznokcie chroni¹ palce. ,True,1,2.1167815000007977
semantic_experiment0,5,Sernik to ciasto,True,1,1.683379000001878
semantic_experiment0,6,Truskawki s¹ owocami letnimi,True,1,2.566765600000508
semantic_experiment0,7,Jeziora s¹ g³êbsze od oceanów,False,1,2.333524200003012
semantic_experiment0,8,P³uca umo¿liwiaj¹ oddychanie. ,True,1,2.45011599999998
semantic_experiment0,9,Religia zajmuje siê wiar¹ ,True,1,2.1671311000027345
semantic_experiment0,10,Koza daje mleko,True,0,2.1004316999969888
semantic_experiment0,11,Kapibara to gatunek ma³py,False,1,2.483793899999
semantic_experiment0,12,¯o³¹dek trawi pokarm. ,True,1,2.1500235999992583
semantic_experiment0,13,Kurtka to okrycie wierzchnie,False,0,2.333460299996659
semantic_experiment0,14,Gwiazda to kula gazowa,True,1,2.4001711000018986
semantic_experiment0,15,Szczur to gatunek ptaka,False,1,2.2001030999963405
semantic_experiment0,16,Kruk potrafi mówiæ,False,0,2.0001715999969747
semantic_experiment0,17,Nauczyciel uczy w szkole,True,1,2.3501415999999153
semantic_experiment0,18,¯ebra chroni¹ p³uca.,Trues,0,1.9835212000034517
semantic_experiment0,19,Nawigacja pomaga w podró¿owaniu,True,1,2.3168527000016184
semantic_experiment0,20,Ramiona s¹ czêœci¹ nóg. ,False,1,1.8500887999980478
semantic_experiment0,21,MMA to mieszane sztuki walki,True,1,1.8500932999959332
semantic_experiment0,22,Koperek roœnie na drzewie,False,1,1.9001413000005414
semantic_experiment0,23,Krawiec szyje ubrania,True,1,1.9001294999980018
semantic_experiment0,24,Cukiernik tankuje paliwo,False,1,1.9334843999968143
semantic_experiment0,25,Jagniêcina to miêso z kury,False,1,2.416801999999734
semantic_experiment0,26,Doradca finansowy maluje obrazy,False,1,2.516847899998538
semantic_experiment0,27,Kaktus potrzebuje wody,True,0,3.366773399997328
semantic_experiment0,28,P¹czki s¹ zdrowe,False,1,1.71683359999588
semantic_experiment0,29,£ucznictwo sportowe wymaga ³uku,True,1,2.516823199999635
semantic_experiment0,30,Udo znajduje siê na g³owie,False,1,1.983469899998454
semantic_experiment0,31,Jemio³a to zwierzê,False,1,2.3501162999964436
semantic_experiment0,32,Kosmetyczka pielêgnuje skórê ,True,1,2.316899299999932
semantic_experiment0,33,Golf wymaga kija,True,1,1.7336547000013525
semantic_experiment0,34,Surfing odbywa siê na l¹dzie,False,0,2.1334792000052403
semantic_experiment0,35,Stolarz ratuje ludzi,False,1,2.5167239000002155
semantic_experiment0,36,Elektryk naprawia urz¹dzenia ,True,1,2.084003700001631
semantic_experiment0,37,Roleta zas³ania okno. ,True,1,2.0000921999962884
semantic_experiment0,38,Kawa pobudza organizm,True,1,1.9668462999979965
semantic_experiment0,39,Nadgarstek to czêœæ rêki,False,0,1.9833730999962427
semantic_experiment0,40,Jednoro¿ec jest istot¹ mityczn¹,True,1,2.3334752999944612
semantic_experiment0,41,Woda smakuje jak kawa,False,1,2.200138899999729
semantic_experiment0,42,Stra¿ak gasi po¿ary ,True,1,1.7666878000018187
semantic_experiment0,43,Farmaceuta sprzedaje leki,True,1,1.983738800001447
perceptual_experiment0,0,Zeszyt s³u¿y do notowania,True,1,2.283622100003413
perceptual_experiment0,1,Stopa sk³ada siê z palców. ,True,1,1.9166446000017459
