sentence,in_task,acc
Kangur potrafi skakaæ,True,1
Mors p³ywa w wodzie,False,1
Nawigacja pomaga w podró¿owaniu,True,1
Kalkulator pomaga w obliczeniach,False,1
Stolarz ratuje ludzi,True,1
Miesi¹c sk³ada siê z 30 dni. ,False,1
Autobus jest wiêkszy od roweru,False,1
Owca to zwierzê roœlino¿erne,False,1
Gumka s³u¿y do œcierania ,False,1
Elektryk naprawia urz¹dzenia ,True,0
Czekolada zawiera kakao,True,1
P¹czki s¹ zdrowe,True,1
Truskawki s¹ owocami letnimi,True,1
Bóbr jest gatunkiem ptaka,False,1
¯ubr to gatunek ptaka,False,1
Do hula hoop potrzeba pi³ki,False,1
Kurtka to okrycie wierzchnie,True,1
Stra¿ak gasi po¿ary ,True,1
Ratownik sprzedaje bi¿uteriê,False,1
Kosmetyczka pielêgnuje skórê ,True,1
Jednoro¿ec jest istot¹ mityczn¹,True,1
£ucznictwo sportowe wymaga ³uku,True,1
Jeziora s¹ g³êbsze od oceanów,True,1
Farmaceuta sprzedaje leki,True,1
MMA to mieszane sztuki walki,True,1
Rekin jest ryb¹,False,1
Kreda s³u¿y do pisania,False,1
¯eglarstwo odbywa siê na wodzie,False,0
Ananas to warzywo,False,1
Koperek roœnie na drzewie,True,1
Czarna wdowa jest ró¿owa,False,1
Kura jest drapie¿nikiem,False,1
Lama mieszka w wodzie,False,1
Szczur to gatunek ptaka,True,0
Plecy ³¹cz¹ tu³ów z g³ow¹. ,False,1
Pokój dzieciêcy jest dla dzieci,False,1
Paznokcie chroni¹ palce. ,True,1
Kaktus potrzebuje wody,True,1
Nauczyciel uczy w szkole,True,1
Ramiona s¹ czêœci¹ nóg. ,True,1
Socjolog bada spo³eczeñstwo,False,1
W paintballu u¿ywa siê kulek,False,1
Plecak nosi siê na plecach,False,1
Nadgarstek to czêœæ rêki,True,1
Wieloryb to gatunek owada,False,1
Czarna dziura poch³ania œwiat³o,False,1
Gwiazda to kula gazowa,True,1
Koza daje mleko,True,1
Woda smakuje jak kawa,True,1
Na ziemii mieszkaj¹ ludzie,False,1
Z¹b s³u¿y do gryzienia. ,False,1
Liœcie zmieniaj¹ kolor jesieni¹,False,1
Cukiernik tankuje paliwo,True,0
Kawa pobudza organizm,True,1
Jemio³a to zwierzê,True,1
P³uca umo¿liwiaj¹ oddychanie. ,True,1
Kiwi jest owocem,False,1
Tygrys to ssak,False,1
Ry¿ jest popularny w Azji,False,1
Psycholog pomaga ludziom,False,1
Mak roœnie na polu,False,1
¯ebra chroni¹ p³uca.,True,1
Religia zajmuje siê wiar¹ ,True,1
Malarz maluje obrazy,False,0
¯o³¹dek trawi pokarm. ,True,1
Udo znajduje siê na g³owie,True,1
Ramiê ³¹czy rêkê z tu³owiem. ,True,1
Sernik to ciasto,True,0
Bark to górna czêœæ tu³owia. ,False,1
Globus to model ziemi,False,1
Kruk potrafi mówiæ,True,0
Rajstopy s¹ noszone na rêce. ,False,1
S³oñce œwieci w nocy,False,1
S³onecznik lubi s³oñce,False,1
Francuski to nauka jêzyka obcego,False,1
Doradca finansowy maluje obrazy,True,1
Krawiec szyje ubrania,True,1
Pomidory mo¿na jeœæ na surowo,False,1
W œwietlicy buduje siê samoloty,False,1
Kapibara to gatunek ma³py,True,1
Pisarz pisze ksi¹¿ki ,False,1
Angielski to nauka jêzyka obcego,False,1
Roleta zas³ania okno. ,True,1
Jagniêcina to miêso z kury,True,1
Weterynarz leczy zwierzêta ,True,1
Golf wymaga kija,True,1
Pêpek jest na brzuchu,False,1
Surfing odbywa siê na l¹dzie,True,1
Ksiê¿yc w pe³ni jest kwadratowy,True,1
Wrona jest gatunkiem paj¹ka,True,0
Halloween jest w czerwcu,False,1
Ciekawoœæ motywuje ludzi,False,1
Na plastyce siê rysuje,False,1
Marchewka jest pomarañczona,False,1
Trener leczy choroby ,True,1
£azienka s³u¿y do k¹pieli. ,True,1
Rumianek jest zdrowy,True,1
Nerka filtruje mocz. ,False,1
Wigilia jest w grudniu,False,1
Chomik jest gatunkiem ryby,True,1
Wywiadówka jest w szpitalu,False,1
Kucharz gotuje posi³ki,True,1
Lydka jest czêœci¹ rêki. ,True,1
Listonosz krêci filmy,True,1
Grawitacja odpycha przedmioty,False,1
Literatura to nauka o ksi¹¿kach,False,1
Ekran wyœwietla informacje. ,False,1
Foka ¿yje na l¹dzie,False,1
Szyja ³¹czy g³owê z tu³owiem. ,False,1
Muzyk gra na instrumentach,False,1
Wspinaczka odbywa siê w wodzie,False,0
D³oñ umo¿liwia chwytanie.,True,1
W³osy rosn¹ na g³owie. ,False,0
Dietetyk naprawia samochody,False,1
Geodeta piecze ciasta,True,1
Baran to zwierzê stadne,True,1
Marzec jest miesi¹cem lata.,True,1
Orzechy s¹ zdrowe,False,1
Poeta tworzy wiersze,False,1
Kolano umo¿liwia zginanie nogi. ,False,1
Tatar to danie wegetariañskie,False,1
Krowa daje mleko,False,1
Szarlotka to rodzaj mebla,True,0
Hamulce s³u¿¹ do hamowania,False,1
Narciarstwo to sport zimowy,True,1
Oliwa z oliwek jest zdrowa,False,1
Drzwi s¹ czêœci¹ okna. ,True,0
Szkolny bus potrafi lataæ,False,1
Tenis sto³owy wymaga paletek,True,0
Pielêgniarka dba o pacjentów ,True,1
Leniwiec szybko biega,True,0
Palec u nogi jest ró¿owy,True,1
Puma to gatunek kota,True,0
Biodro ³¹czy nogê z tu³owiem.,True,0
Zupa jarzynowa jest z owoców,True,1
Rzeka p³ynie do góry,True,0
Krêgos³up jest elastyczny. ,True,0
Fasola jest owocem,True,0
Pokój to pomieszczenie,True,1
Zbiornik paliwa jest z papieru,True,1
Fizyka bada prawa natury,True,1
Przedsiêbiorca prowadzi firmê,True,0
Papryka jest warzywem,False,1
Przedpokój to wejœcie do pokoju,False,1
Ekonomista analizuje rynek,True,1
Noga umo¿liwia chodzenie. ,False,1
Nos s³u¿y do oddychania. ,False,0
O³ówek s³u¿y do pisania.,False,1
Na olimpiadzie ka¿dy wygrywa,False,1
Paliwo jest potrzebne do jazdy,False,1
Góry s¹ zbudowane z wody,False,1
Paznokcie s¹ naturalnie zielone,True,1
Aktor gra w filmach,True,1
Zeszyt s³u¿y do notowania,True,1
Talia to czêœæ nogi,False,1
Usta s¹ na twarzy,True,1
Jogurt mo¿na jeœæ,False,1
Kasztanowiec daje kasztany,False,1
Fotograf sprz¹ta chodniki,True,1
D³oñ sk³ada siê z palców. ,True,0
Na korepetycjach siê uczy,True,0
Ptak potrafi lataæ,False,1
Florysta gra na instrumentach ,False,1
Manager zarz¹dza zespo³em,False,1
Deskorolk¹ p³ywa siê po wodzie,False,1
Cieœla robi drinki,False,1
Stopa sk³ada siê z palców. ,True,0
