Głowa zawiera mózg. ,True
Włosy rosną na głowie. ,True
Oczy to część głowy.,True
Nos służy do oddychania. ,True
Ucho umożliwia słyszenie. ,True
Policzki mają kolor skóry.,True
Podbródek znajduje się pod ustami. ,True
Wargi otaczają usta. ,True
Język umożliwia smakowanie. ,True
Ząb służy do gryzienia. ,True
Gardło łączy nos z przełykiem. ,False
Czoło znajduje się na potylicy. ,False
Oko umożliwia dotyk.,False
Brew to część czoła. ,False
Nozdrza umożliwiają oddychanie.,True
Szyja łączy głowę z tułowiem. ,True
Klatka piersiowa chroni serce.,True
Brzuch jest częścią ciała. ,True
Żebra chronią płuca.,True
Talia to część kręgosłupa.,False
Plecy łączą tułów z głową. ,False
Kręgosłup jest elastyczny. ,True
Bark to górna część tułowia. ,True
Pacha znajduje się pod ręką. ,True
Sutki są widoczne u mężczyzn. ,False
Pępek jest środkiem tułowia.,True
Brzuch zawiera narządy trawienne. ,True
Żołądek trawi pokarm. ,True
 Serce pompuje krew. ,True
Płuca umożliwiają oddychanie. ,True
Nerka filtruje mocz. ,True
Wątroba produkuje krew. ,False
Jelita trawią pokarm. ,True
Jelito grube wchłania wodę. ,True
Jelito cienkie wchłania składniki odżywcze.,True
Mózg kontroluje ciało.,True
Wątroba magazynuje energię. ,False
Nerka znajduje się w klatce piersiowej. ,False
Ramię łączy rękę z tułowiem. ,True
Dłoń składa się z palców. ,True
Paznokcie chronią palce. ,True
Kciuk jest największym palcem.,True
Łokieć umożliwia zginanie ramienia. ,True
Nadgarstek znajduje się na dłoni. ,False
Ramiona są częścią nóg. ,False
Palce mają mięśnie. ,True
Dłoń umożliwia chwytanie.,True
Paznokcie są naturalnie koloru zielonego. ,False
Biodro łączy nogę z tułowiem.,True
Kolano umożliwia zginanie nogi. ,True
Udo znajduje się między kolanem a biodrem. ,True
Stopa składa się z palców. ,True
Pięta jest częścią stopy. ,True
Pośladki są na końcu nogi. ,False
Kostka stabilizuje stopę. ,True
Lydka jest częścią ręki. ,False
Palec u nogi jest największy. ,False
Noga umożliwia chodzenie. ,True
 Skóra chroni ciało.,True
Mięśnie umożliwiają ruch. ,True
Krew transportuje substancje. ,True
Kość stanowi szkielet. ,True
Tętnica prowadzi krew z serca. ,True
Żyła odprowadza krew do serca. ,True
Miesiąc składa się z 30 dni. ,False
W styczniu są długie dni. ,False
Luty jest ostatnim miesiącem roku. ,False
Marzec jest miesiącem lata.,False
W kwietniu rosną kwiaty. ,True
W maju jest Boże Narodzenie. ,False
W czerwcu jest Halloween. ,False
W lipcu jest Dzień Dziecka. ,False
W sierpniu są długie noce.,True
We wrześniu zaczyna się zima. ,False
W październiku są krótkie dni. ,False
W listopadzie opadają liście.,True
W grudniu jest Wigilia.,True
W każdym miesiącu jest 28 dni. ,False
Pokój służy do odpoczynku.,True
Sypialnia jest miejscem snu. ,True
Garderoba służy do przechowywania ubrań. ,True
Łazienka służy do kąpieli. ,True
Kuchnia jest miejscem przygotowywania posiłków. ,True
Jadalnia służy do spożywania posiłków.,True
Salon jest miejscem spotkań rodzinnych. ,True
Pokój dziecięcy jest przeznaczony dla dzieci.,True
Przedpokój to wejście do domu. ,True
Gabinet jest miejscem pracy.,True
Okno umożliwia dostęp światła.,True
Szyba chroni przed wiatrem.,True
Parapet jest na zewnątrz budynku. ,False
Drzwi są częścią okna. ,False
Klamka służy do otwierania okna.,False
Ściana ma okno.,True
Podłoga znajduje się pod oknem.,True
Sufit znajduje się nad oknem. ,True
Roleta zasłania okno. ,True
Okno jest często otwierane.,True
 Komputer służy do wykonywania zadań. ,True
Ekran wyświetla informacje. ,True
Klawiatura umożliwia wprowadzanie tekstu. ,True
Mysz służy do sterowania kursorem. ,True
Lekarz zajmuje się leczeniem pacjentów. ,True
Nauczyciel uczy uczniów w szkole. ,True
Kucharz przygotowuje potrawy w restauracji.,True
Sprzedawca obsługuje klientów w sklepie.,True
Inżynier projektuje nowe rozwiązania techniczne.,True
Pielęgniarka opiekuje się pacjentami w szpitalu. ,True
Policjant dba o porządek i bezpieczeństwo w społeczeństwie. ,True
Programista tworzy oprogramowanie komputerowe. ,True
Artysta tworzy dzieła sztuki. ,True
Mechanik naprawia samochody. ,True
Lekarz może wykonywać prace związane z chirurgią.,True
Nauczyciel zawsze ma wolne w weekendy.,False
Kucharz zawsze gotuje w domu. ,False
Sprzedawca zawsze ma stałe godziny pracy.,False
Inżynier może być odpowiedzialny za projektowanie mostów. ,True
Pielęgniarka może wykonywać zadania administracyjne. ,True
Policjant może prowadzić samochód policyjny. ,True
Programista zawsze pracuje samodzielnie.,False
Artysta może zajmować się sztuką wizualną. ,True
"Ludzie czasem kłamią, by uniknąć kary.",True
Często uśmiech jest oznaką radości. ,True
Wściekłość może prowadzić do agresji. ,True
Ludzie często szukają akceptacji innych. ,True
Zazdrość może prowadzić do negatywnych zachowań. ,True
Ciekawość motywuje ludzi do eksploracji. ,True
Ludzie czasem unikają konfrontacji ze strachem. ,True
Empatia pozwala na zrozumienie innych osób. ,True
Uśmiech może być fałszywy. ,True
Ludzie czasem ukrywają swoje prawdziwe uczucia.,True
"Ludzie mogą się złościć, gdy są ignorowani. ",True
Kurtka zimowa jest odpowiednia na upał. ,False
Rajstopy są noszone na ręce. ,False
Garnitur jest idealnym strojem na formalne spotkania. ,True
Sukienka jest typowym męskim ubraniem. ,False
Kozaki są często noszone latem. ,False
Spodnie dżinsowe są często noszone na co dzień. ,True
Szalik jest noszony głównie wokół talii. ,False
Bluza z kapturem jest odpowiednia na randkę. ,True
Marynarka zawsze noszona jest na nogach. ,False
Sweter z wełny jest typowy na lato.,False
Kapelusz zazwyczaj noszony jest na głowie. ,True
Buty sportowe są odpowiednie do formalnych wydarzeń. ,False
Marynarka jest typowym elementem stroju na plażę. ,False
Koszula jest często noszona na specjalne okazje. ,True
Spódnica jest zawsze krótsza od sukienki.,False
Krawat jest często noszony w codziennym stroju. ,False
T-shirt jest popularny latem. ,True
Szorty są idealne na chłodne dni. ,False
Bluza chroni przed zimnem. ,True
Szalik może być noszony na szyi lub głowie. ,True
Koszula często ma kołnierzyk.,True
Kurtka przeciwdeszczowa chroni przed deszczem. ,True
Krawat jest często noszony na formalne okazje.,True
Spodnie dżinsowe są popularne na całym świecie. ,True
Kapelusz zwykle nosi się na głowie. ,True
Sukienka jest typowo damskim ubraniem. ,True
Sweter chroni przed zimnem. ,True
Buty sportowe są wygodne podczas biegania.,True
Bluza z kapturem jest popularna wśród młodzieży. ,True
Szalik jest noszony zazwyczaj na szyi. ,True
Marynarka jest często noszona do garnituru.,True
Spódnica zazwyczaj jest dłuższa od spodenek. ,True
T-shirt jest powszechnie używany jako ubranie sportowe.,True
Rękawiczki chronią dłonie przed zimnem. ,True
Koszula nocna noszona jest na noc. ,True
Sukienka koktajlowa jest popularna na imprezy. ,True
Kurtka skórzana jest popularna wśród motocyklistów. ,True
Kapelusz panama jest idealny na lato. ,True
Buty trekkingowe są wygodne podczas wędrówek. ,True
Sweter z golfem ma wysoki kołnierz. ,True
Szorty są popularne latem. ,True
Krawat zwykle nosi się na szyi. ,True
Bluza z kapturem jest noszona przez młodzież. ,True
Spodnie dresowe są wygodne podczas wypoczynku. ,True
Marynarka jest często noszona do spodni.,True
Spódnica mini jest krótka.,True
Sweter zazwyczaj ma długie rękawy. ,True
Buty sportowe są noszone podczas uprawiania sportu. ,True
Bluza z kapturem jest noszona w chłodne dni. ,True
T-shirt jest zazwyczaj wykonany z bawełny. ,True
Kurtka zimowa jest ciepła. ,True
Czapka chroni głowę przed słońcem. ,True
Rękawiczki są noszone na rękach. ,True
Koszula zwykle ma guziki. ,True
Sukienka wieczorowa jest elegancka. ,True
Spodnie jeansowe są trwałe. ,True
Krawat jest noszony na szyi.,True
Sweter jest miękki i ciepły. ,True
Buty sportowe są wygodne podczas spaceru. ,True
Bluza z kapturem jest popularna wśród nastolatków.,True
Szalik chroni szyję przed zimnem. ,True
Marynarka jest noszona w celach formalnych. ,True
Spódnica jest krótsza od sukienki. ,True
T-shirt jest noszony jako podstawowy element garderoby. ,True
Kurtka przeciwdeszczowa jest wodoodporna. ,True
Kapelusz zwykle jest wykonany z materiałów naturalnych. ,True
Rękawiczki mają zazwyczaj palce. ,True
Koszula jest często noszona w pracy.,True
Sukienka letnia jest lekka i przewiewna. ,True
Spodnie dresowe są wygodne do noszenia w domu. ,True
Płuca służą do oddychania. ,True
Serce jest odpowiedzialne za pompowanie krwi. ,True
Nerka filtruje krew. ,True
Wątroba pomaga w trawieniu. ,True
Jelita biorą udział w procesie trawienia. ,True
Jelito cienkie wchłania składniki odżywcze z pożywienia. ,True
