Dziennikarz pisze artykuły;True
Fizyka bada prawa natury;True
Pacha znajduje się pod ręką.;True
Ramiona są częścią nóg.;False
Tętnica prowadzi krew z serca.;True
Pośladki są na końcu nogi.;False
Góry są zbudowane z wody;False
Brzuch jest częścią ciała.;True
Udo znajduje się na głowie;False
Nauczyciel uczy w szkole;True
Dyrektor sprząta szkołę;False
Ramię łączy rękę z tułowiem.;True
Programista pisze programy;True
Fotograf robi zdjęcia;True
Talia to część nogi;False
Kapelusz zwykle nosi się na głowie.;True
Włosy rosną na głowie.;True
Czapka chroni głowę przed słońcem.;True
Pisarz pisze książki;True
Rękawiczki nosi się na rękach;True
Wędkarze łapią ryby rękoma;False
Głowa zawiera mózg.;True
Wąż posiada cztery nogi;False
Triathlon to zawody w trzech dyscyplinach;True
Reflektor oświetla drogę;True
W sierpniu są długie noce.;False
Plecy łączą tułów z głową.;False
Lama mieszka w wodzie;False
Barista pisze książki;False
Pięta jest częścią stopy.;True
Bark to górna część tułowia.;True
Francuski to nauka języka obcego;True
Artysta tworzy dzieła sztuki.;True
Rajstopy są noszone na ręce.;False
Żyła odprowadza krew do serca.;True
Kostka do gry służy do pisania;False
Spodnie są częścią garderoby;True
Skrzynia biegów umożliwia zmianę prędkości;True
Literatura to nauka o książkach;True
Marzec jest miesiącem lata.;False
Aktor gra w filmach;True
Angielski to nauka języka obcego;True
Tablica w szkole jest prostokątna;True
Oko umożliwia dotyk.;False
Opony są wymagane w samochodzie;True
Szyja łączy głowę z tułowiem.;True
Cieśla robi drinki;False
Drzewa rosną w górę;True
Samorząd uczniowski zarządza kościołem;False
Wspinaczka odbywa się w wodzie;False
Żeglarstwo odbywa się na wodzie;True
Kaktus potrzebuje wody;True
Historia opowiada o przeszłości;True
Księżyc krąży wokół Ziemi;True
Sufit jest nad głową;True
Rolkami jeździ się po wodzie;False
Woda smakuje jak kawa;False
Radio samochodowe gra muzykę;True
Doradca finansowy maluje obrazy;False
Wilk poluje w grupach;True
Gałka zmiany biegów oświetla jezdnie;False
Na geografii uczy się o ziemi;True
Policjant pilnuje porządku;True
Wyspy są zawsze otoczone wodą;True
Ekran wyświetla informacje.;True
Deskorolką pływa się po wodzie;False
Rzeka płynie do góry;False
Aligator pływa w wodzie;True
Mors pływa w wodzie;True
Stewardessa buduje kościoły;False
Okno umożliwia dostęp światła.;True
Ziemniaki rosną pod ziemią;True
Na lekcjach szkolnych pije się alkohol;False
Czarna dziura pochłania światło;True
Szympans potrafi używać narzędzi;True
Geolog bada ziemię;True
Matematyka to nauka liczb;True
MMA to mieszane sztuki walki;True
Komputer służy do liczenia;True
Globus to model ziemi;True
We wrześniu zaczyna się zima.;False
Słońce świeci w nocy;False
Sutki są widoczne u mężczyzn.;True
Ołówek służy do pisania.;True
Długopis służy do pisania;True
Kreda służy do pisania;True
Podbródek znajduje się pod ustami.;True
Mechanik naprawia samochody;True
Dłoń składa się z palców.;True
Religia zajmuje się wiarą;True
Skóra chroni ciało;True
Dietetyk naprawia samochody;False
Układ słoneczny składa się z planet;True
Poeta tworzy wiersze;True
Usta są na twarzy;True
Słonecznik lubi słońce;True
Nerka znajduje się w klatce piersiowej.;False
Mózg kontroluje ciało.;True
Szkolny bus potrafi latać;False
Manager zarządza zespołem;True
Listonosz kręci filmy;False
Wskaźnik paliwa informuje ilości paliwa;True
Mięśnie umożliwiają ruch.;True
Czoło znajduje się na potylicy.;False
Szyberdach znajduje się na podłodze;False
Muzyka to nauka o dźwiękach;True
Chemia zajmuje się badaniem substancji;True
Wlew paliwa znajduje się obok baku;True
Boks polega na walce;True
Stopa składa się z palców.;True
Piłka nożna wymaga piłki;True
Boże Narodzenie jest w maju;False
Palec u nogi jest różowy;False
Serce pompuje krew;True
Ryba potrafi biegać;False
Piekarz pracuje na recepcji;False
Klawiatura umożliwia wprowadzanie tekstu.;True
Drzwi są na podłodze;False
Koala lubi mięso;False
Malarz maluje obrazy;True
Orkiestra buduje budynki;False
Marynarkę nosi się na nogach;False
Liście zmieniają kolor jesienią;True
Ptak potrafi latać;True
Sarna poluje w nocy;False
Łucznictwo sportowe wymaga łuku;True
Przedpokój to wejście do pokoju;True
Bułki to rodzaj mięsa;False
Mysz lubi pływać;False
Plansza do gier służy do jedzenia;False
Ochroniarz buduje budynki;False
Koza daje mleko;True
Na technice gra się w rugby;False
Pokój to pomieszczenie;True
Język umożliwia smakowanie.;True
Wywiadówka jest w szpitalu;False
Ekonomista analizuje rynek;True
Krowa daje mleko;True
Klamka otwiera okno;True
Klatka piersiowa chroni serce.;True
W kwietniu rosną kwiaty.;True
Prawnik broni klientów;True
Siatkówka plażowa jest grana na piasku;True
Muzyk gra na instrumentach;True
Pluton jest najbliżej Słońca;False
Kości tworzą szkielet;True
Leniwiec szybko biega;False
Kolano umożliwia zginanie nogi.;True
Foka żyje na lądzie;False
